Price,Bed,Bath,Toilet,Property Type,Area,Purchase Type,Parking Space,Security,Electricity,Furnished,Security Doors,CCTV,BQ,Gym,Pool
17500000,1,1,2,Mini flat,ajah,sale,0,0,0,0,0,1,0,1,0
33000000,4,4,5,Terraced duplex,ajah,sale,0,1,0,0,0,0,0,0,0
38000000,4,4,5,Terraced duplex,ajah,sale,0,1,0,0,0,0,0,0,0
38000000,3,4,5,Detached bungalow,ajah,sale,0,1,0,0,1,0,0,0,0
23000000,2,2,3,Blocks of flats,ajah,sale,0,1,0,0,1,1,0,0,0
46000000,4,5,6,Semi detached duplex,ajah,sale,0,1,0,0,1,0,1,0,0
33000000,4,4,5,Terraced duplex,ajah,sale,0,1,0,0,1,1,0,0,0
35000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
25500000,2,2,3,Flat / apartment,ajah,sale,0,0,0,0,0,1,0,1,0
26500000,4,4,5,Terraced duplex,ajah,sale,0,1,0,0,0,1,0,1,0
97000000,5,7,8,Detached duplex,ajah,sale,0,1,0,0,1,1,0,0,1
55000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
43000000,4,5,5,Semi detached duplex,ajah,sale,0,1,0,0,1,0,1,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
70000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,1,0,0
38000000,4,4,5,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
45000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
40000000,4,4,4,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
75000000,5,5,6,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,1
37000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,1,0,0,0
23000000,2,2,3,Blocks of flats,ajah,sale,0,1,0,0,1,1,0,0,0
60000000,4,5,6,Detached duplex,ajah,sale,0,1,0,0,1,1,0,0,0
47500000,4,4,5,Terraced duplex,ajah,sale,0,0,0,0,0,1,0,1,0
53000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
95000000,5,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
75000000,4,5,6,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,1
13500000,1,1,2,Mini flat,ajah,sale,0,1,0,0,0,1,0,1,0
60000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
42000000,4,4,5,Semi detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
45000000,4,5,6,Semi detached duplex,ajah,sale,0,1,0,0,1,0,1,0,0
38000000,3,3,4,Detached bungalow,ajah,sale,0,1,0,0,1,0,0,0,0
18000000,2,2,3,Flat / apartment,ajah,sale,0,1,0,0,0,1,0,1,0
60000000,4,4,5,Semi detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
58000000,4,4,5,Detached duplex,ajah,sale,0,1,0,0,1,0,0,0,0
35000000,4,4,4,Terraced duplex,ajah,sale,0,0,0,0,0,0,0,0,0
40000000,4,4,5,Detached duplex,ajah,sale,0,0,0,0,0,0,0,0,0
